@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
4304,'2019/09/19 12:48:11:741',39,-6973552,-5657947,-5395029,-6120037,-7700869,-8951450,-9872294,-10196625,-10722712,-11379870,-6381926,-5197650,-5594206,-8623770,-8426134,-9941173,-10597817,-9147025,-7303276,-8551026,-6118754,-4934735,-4737611,-4803404,-5066830,-5198417,-5527381,-5922139,-7237997,-9408137,-6119009,-5066577,-9803414,-15462639,-8229524,-6124663,-6054755,-6448998,-7040619,-8684930,-6250595,-6974058,-15922419,-13754850,-11390415,-9944768,-9350578,-8428190,-8817287,-9277322,-6184801,-5724505,-13882835,-14740461,-12111570,-10796481,-10135980,-10398380,-10330526,-8882307,-7961210,-7435379,-6119006,-6777193,-7304565,-6711656,-6711655,-7303793,-9474959,-9210759,-8421762,-10001307,-6974829,-7175293,-7176581,-6917781,-6784649,-7567992,-8685443,-9210759,-7829623,-7829624,-6843498,-7047825,-6985900,-6985635,-7312796,-8224378,-8355448,-9276037,-8157562,-7763317,-7566194,-7633026,-7900870,-7508430,-9279156,-11377296,-9867146,-9998476,0
4305,'2019/09/19 12:48:11:773',39,-6908016,-5658202,-5395029,-6186342,-7832710,-9017755,-9873062,-10131346,-10723223,-11248797,-6447462,-5132370,-5594462,-8558489,-8426132,-9810357,-10466744,-9081231,-7303275,-8485746,-6119010,-4869454,-4737611,-4803403,-5066575,-5198673,-5527381,-5922139,-7238253,-9408392,-6119009,-5066577,-9869206,-15397358,-8229780,-6124663,-6120291,-6448998,-7040875,-8685185,-6250594,-6908777,-15922675,-13624290,-11390927,-9879488,-9350834,-8428445,-8752007,-9212041,-6185057,-5724505,-13882835,-14740972,-12046289,-10796480,-10136235,-10332844,-10264989,-8817027,-7895929,-7435379,-6053726,-6777448,-7370100,-6711912,-6711655,-7304049,-9409679,-9080198,-8422018,-10001563,-6909548,-7175293,-7242372,-6918036,-6784905,-7567992,-8620162,-9079941,-7829623,-7764343,-6843754,-7048081,-6986410,-6920355,-7313052,-8159097,-8355704,-9276293,-8157818,-7698036,-7500914,-7633282,-7901125,-7508686,-9148595,-11377551,-9867401,-9998730,0
4306,'2019/09/19 12:48:11:808',39,-6908015,-5658202,-5395285,-6317672,-7898504,-9083548,-9873320,-10065810,-10788761,-11314333,-6381927,-5132370,-5594718,-8492696,-8294803,-9810356,-10400951,-9015438,-7237738,-8551282,-6119010,-4934735,-4737610,-4803403,-5066831,-5198674,-5527381,-5922139,-7238254,-9342856,-6119009,-5001296,-9869462,-15397359,-8229780,-6124663,-6055011,-6449254,-7040875,-8685185,-6250850,-6908778,-15857138,-13624291,-11390927,-9814208,-9350833,-8362910,-8817543,-9277322,-6185057,-5724504,-13948627,-14740972,-12046290,-10730944,-10136236,-10332844,-10265244,-8882563,-7961466,-7435379,-6119262,-6777448,-7304564,-6711912,-6711655,-7304049,-9409679,-9145734,-8422018,-10001563,-6909292,-7175292,-7242115,-6983572,-6850441,-7567992,-8685699,-9145477,-7829879,-7764343,-6843754,-7113874,-7051947,-6920354,-7247515,-8158842,-8290167,-9276294,-8092282,-7763572,-7500914,-7633026,-7901126,-7508941,-9214131,-11377552,-9867401,-9867916,0
4307,'2019/09/19 12:48:11:840',39,-6908015,-5658202,-5395285,-6317672,-7898504,-9083548,-9873320,-10065810,-10788761,-11314333,-6381927,-5132370,-5594718,-8492696,-8294803,-9810356,-10400951,-9015438,-7237738,-8551282,-6119010,-4934735,-4737610,-4803403,-5066831,-5198674,-5527381,-5922139,-7238254,-9342856,-6119009,-5001296,-9869462,-15397359,-8229780,-6124663,-6055011,-6449254,-7040875,-8685185,-6250850,-6908778,-15857138,-13624291,-11390927,-9814208,-9350833,-8362910,-8817543,-9277322,-6185057,-5724504,-13948627,-14740972,-12046290,-10730944,-10136236,-10332844,-10265244,-8882563,-7961466,-7435379,-6119262,-6777448,-7304564,-6711912,-6711655,-7304049,-9409679,-9145734,-8422018,-10001563,-6909292,-7175292,-7242115,-6983572,-6850441,-7567992,-8685699,-9145477,-7829879,-7764343,-6843754,-7113874,-7051947,-6920354,-7247515,-8158842,-8290167,-9276294,-8092282,-7763572,-7500914,-7633026,-7901126,-7508941,-9214131,-11377552,-9867401,-9867916,0
4308,'2019/09/19 12:48:11:874',39,-6973552,-5658202,-5395285,-6252136,-7964040,-9149084,-10004135,-10131346,-10788760,-11314333,-6381926,-5132370,-5659999,-8492696,-8294803,-9810100,-10401207,-9015438,-7237738,-8485746,-6118754,-4934990,-4737611,-4803659,-5066831,-5264209,-5527382,-5922139,-7238253,-9408137,-6119009,-5066832,-9803670,-15397358,-8230036,-6124918,-6055011,-6449254,-7040875,-8750722,-6185314,-6908778,-15922674,-13690082,-11456463,-9814209,-9351090,-8493726,-8752007,-9277577,-6185057,-5724505,-13882834,-14675436,-12046289,-10796481,-10136235,-10398379,-10265245,-8882562,-7961466,-7435380,-6119262,-6777448,-7304564,-6711912,-6711655,-7369585,-9409679,-9080198,-8356481,-10001563,-6909292,-7175036,-7242116,-6983571,-6915978,-7567992,-8620162,-9145478,-7829623,-7764600,-6843755,-7113873,-7051947,-6920354,-7247515,-8158841,-8355704,-9276294,-8092537,-7763572,-7500913,-7633025,-7901126,-7508942,-9148596,-11377551,-9801865,-9998730,0
4309,'2019/09/19 12:48:11:907',39,-6973551,-5658203,-5395029,-6317672,-7898505,-9083292,-10004136,-10131089,-10788761,-11249053,-6381927,-5132369,-5660255,-8558233,-8294803,-9810356,-10466743,-9015438,-7237738,-8551282,-6118755,-4869454,-4737611,-4803659,-5066831,-5198674,-5527381,-5922139,-7303790,-9408393,-6119010,-5066577,-9869462,-15462639,-8229524,-6124662,-6055011,-6449254,-7040875,-8685185,-6250595,-6974571,-15922675,-13689827,-11390927,-9879488,-9350833,-8362910,-8752007,-9211786,-6185057,-5724761,-13948628,-14740972,-12046289,-10796481,-10136236,-10333100,-10264989,-8882563,-7895930,-7435379,-6119262,-6842985,-7370356,-6711912,-6711655,-7304049,-9409679,-9145735,-8422017,-10001564,-6909548,-7175292,-7176579,-6983572,-6850442,-7567992,-8685699,-9145478,-7829879,-7830136,-6778219,-7114130,-6986666,-6854818,-7247770,-8158841,-8355704,-9276294,-8092538,-7763572,-7566450,-7633281,-7901126,-7508941,-9214132,-11377551,-9801865,-9933195,0
4310,'2019/09/19 12:48:11:940',39,-6973551,-5658203,-5395029,-6317672,-7898505,-9083292,-10004136,-10131089,-10788761,-11249053,-6381927,-5132369,-5660255,-8558233,-8294803,-9810356,-10466743,-9015438,-7237738,-8551282,-6118755,-4869454,-4737611,-4803659,-5066831,-5198674,-5527381,-5922139,-7303790,-9408393,-6119010,-5066577,-9869462,-15462639,-8229524,-6124662,-6055011,-6449254,-7040875,-8685185,-6250595,-6974571,-15922675,-13689827,-11390927,-9879488,-9350833,-8362910,-8752007,-9211786,-6185057,-5724761,-13948628,-14740972,-12046289,-10796481,-10136236,-10333100,-10264989,-8882563,-7895930,-7435379,-6119262,-6842985,-7370356,-6711912,-6711655,-7304049,-9409679,-9145735,-8422017,-10001564,-6909548,-7175292,-7176579,-6983572,-6850442,-7567992,-8685699,-9145478,-7829879,-7830136,-6778219,-7114130,-6986666,-6854818,-7247770,-8158841,-8355704,-9276294,-8092538,-7763572,-7566450,-7633281,-7901126,-7508941,-9214132,-11377551,-9801865,-9933195,0
4311,'2019/09/19 12:48:11:973',39,-6973808,-5658203,-5395285,-6383464,-7964041,-9149084,-10004136,-10131089,-10854552,-11248797,-6382182,-5132370,-5594720,-8492952,-8294803,-9875636,-10400951,-9015438,-7237738,-8551282,-6053474,-4935246,-4737611,-4803404,-5066831,-5264210,-5527382,-5922139,-7304046,-9408393,-6053474,-5066832,-9869464,-15397358,-8163988,-6124662,-6055011,-6449255,-7106411,-8685442,-6250595,-7040363,-15922675,-13624290,-11390928,-9813952,-9285298,-8428446,-8752007,-9212042,-6185057,-5790297,-14014421,-14675435,-12046289,-10796481,-10136236,-10333100,-10264989,-8882563,-7961466,-7435379,-6119263,-6842985,-7370356,-6711912,-6711655,-7369585,-9409680,-9080198,-8422018,-10001564,-6909548,-7175292,-7242115,-6918036,-6915978,-7567992,-8685698,-9145477,-7829879,-7830136,-6843755,-7113874,-7052202,-6920354,-7313051,-8158841,-8355704,-9342086,-8092538,-7763572,-7566450,-7633282,-7901125,-7508941,-9214131,-11312271,-9801610,-9867659,0
4312,'2019/09/19 12:48:12:007',39,-6973552,-5658202,-5395285,-6383465,-8029833,-9149085,-10004392,-10131345,-10854552,-11248796,-6447719,-5132370,-5660255,-8492697,-8294802,-9810100,-10466487,-9015182,-7237738,-8551282,-6118754,-4934990,-4737611,-4803659,-5066831,-5264210,-5527382,-5922139,-7303790,-9408393,-6119010,-5066832,-9935256,-15397358,-8164244,-6124662,-6120547,-6449254,-7040875,-8685441,-6250851,-7040364,-15922675,-13624290,-11456463,-9879488,-9350834,-8362911,-8817543,-9277577,-6185058,-5790298,-14014420,-14675436,-12046545,-10862017,-10136236,-10333100,-10264988,-8882563,-7961466,-7500915,-6119518,-6843241,-7370357,-6711912,-6711655,-7369585,-9475215,-9145734,-8422018,-10001563,-6975084,-7175036,-7176579,-6983571,-6915977,-7567991,-8685698,-9145478,-7829879,-7830136,-6844012,-7114131,-7117738,-6920353,-7313051,-8158585,-8355704,-9276550,-8157818,-7763573,-7566450,-7633282,-7966661,-7574477,-9214132,-11312016,-9736328,-9867658,0
4313,'2019/09/19 12:48:12:041',39,-6973552,-5658202,-5395285,-6383465,-8029833,-9149085,-10004392,-10131345,-10854552,-11248796,-6447719,-5132370,-5660255,-8492697,-8294802,-9810100,-10466487,-9015182,-7237738,-8551282,-6118754,-4934990,-4737611,-4803659,-5066831,-5264210,-5527382,-5922139,-7303790,-9408393,-6119010,-5066832,-9935256,-15397358,-8164244,-6124662,-6120547,-6449254,-7040875,-8685441,-6250851,-7040364,-15922675,-13624290,-11456463,-9879488,-9350834,-8362911,-8817543,-9277577,-6185058,-5790298,-14014420,-14675436,-12046545,-10862017,-10136236,-10333100,-10264988,-8882563,-7961466,-7500915,-6119518,-6843241,-7370357,-6711912,-6711655,-7369585,-9475215,-9145734,-8422018,-10001563,-6975084,-7175036,-7176579,-6983571,-6915977,-7567991,-8685698,-9145478,-7829879,-7830136,-6844012,-7114131,-7117738,-6920353,-7313051,-8158585,-8355704,-9276550,-8157818,-7763573,-7566450,-7633282,-7966661,-7574477,-9214132,-11312016,-9736328,-9867658,0
